dept_res,lat_res,lon_res,dept_work,lat_work,lon_work,flow_weight
75,48.8566969,2.3514616,35,48.1113387,-1.6800198,124
75,48.8566969,2.3514616,37,47.3900474,0.6889268,119
75,48.8566969,2.3514616,44,47.2186371,-1.5541362,140
75,48.8566969,2.3514616,45,47.9027336,1.9086066,179
75,48.8566969,2.3514616,67,48.584614,7.7507127,136
75,48.8566969,2.3514616,69,45.7578137,4.8320114,278
76,49.4404591,1.0939658,60,49.4300997,2.0823355,488
76,49.4404591,1.0939658,75,48.8566969,2.3514616,1245
76,49.4404591,1.0939658,78,48.8035403,2.1266886,366
76,49.4404591,1.0939658,91,48.26406,3.25604,102
76,49.4404591,1.0939658,92,48.8924273,2.2071267,540
76,49.4404591,1.0939658,93,48.906387,2.4452231,200
76,49.4404591,1.0939658,94,48.7771486,2.4530731,130
76,49.4404591,1.0939658,95,49.0508845,2.1008067,227
77,48.539927,2.6608169,10,48.2971626,4.0746257,198
77,48.539927,2.6608169,45,47.9027336,1.9086066,435
77,48.539927,2.6608169,89,47.7961287,3.570579,285
78,48.8035403,2.1266886,28,48.4438601,1.4881434,634
80,49.8941708,2.2956951,75,48.8566969,2.3514616,633
80,49.8941708,2.2956951,76,49.4404591,1.0939658,934
80,49.8941708,2.2956951,92,48.8924273,2.2071267,227
80,49.8941708,2.2956951,93,48.906387,2.4452231,166
80,49.8941708,2.2956951,94,48.7771486,2.4530731,100
80,49.8941708,2.2956951,95,49.0508845,2.1008067,108
84,43.9492493,4.8059012,30,43.8374249,4.3600687,1574
84,43.9492493,4.8059012,34,43.6112422,3.8767337,113
85,46.6705431,-1.4269698,17,46.1591126,-1.1520434,504
85,46.6705431,-1.4269698,79,46.3239455,-0.4645212,940
88,48.1747684,6.4503643,70,47.6197251,6.1545239,180
91,48.26406,3.25604,45,47.9027336,1.9086066,276
92,48.8924273,2.2071267,28,48.4438601,1.4881434,109
92,48.8924273,2.2071267,69,45.7578137,4.8320114,135
93,48.906387,2.4452231,69,45.7578137,4.8320114,124
94,48.7771486,2.4530731,44,47.2186371,-1.5541362,140
94,48.7771486,2.4530731,69,45.7578137,4.8320114,109
95,49.0508845,2.1008067,27,49.0268903,1.1510164,125
