dept_res,lat_res,lon_res,dept_work,lat_work,lon_work,flow_weight
53,48.0710377,-0.7723499,35,48.1113387,-1.6800198,950
53,48.0710377,-0.7723499,61,48.4312059,0.0911374,417
54,48.6937223,6.1834097,75,48.8566969,2.3514616,225
54,48.6937223,6.1834097,92,48.8924273,2.2071267,113
56,47.6586772,-2.7599079,75,48.8566969,2.3514616,251
56,47.6586772,-2.7599079,92,48.8924273,2.2071267,121
58,46.9876601,3.1577203,03,49.4217,3.6847,223
58,46.9876601,3.1577203,18,47.0805693,2.398932,463
58,46.9876601,3.1577203,45,47.9027336,1.9086066,141
60,49.4300997,2.0823355,76,49.4404591,1.0939658,349
61,48.4312059,0.0911374,28,48.4438601,1.4881434,606
61,48.4312059,0.0911374,75,48.8566969,2.3514616,184
63,45.7774551,3.0819427,75,48.8566969,2.3514616,155
64,43.2957547,-0.3685668,31,43.6044622,1.4442469,166
64,43.2957547,-0.3685668,75,48.8566969,2.3514616,237
64,43.2957547,-0.3685668,92,48.8924273,2.2071267,116
64,43.2957547,-0.3685668,95,49.0508845,2.1008067,103
65,43.232858,0.0781021,64,43.2957547,-0.3685668,795
67,48.584614,7.7507127,75,48.8566969,2.3514616,310
67,48.584614,7.7507127,92,48.8924273,2.2071267,132
68,48.0777517,7.3579641,75,48.8566969,2.3514616,131
69,45.7578137,4.8320114,21,47.3215806,5.0414701,133
69,45.7578137,4.8320114,71,46.3036683,4.8322266,763
69,45.7578137,4.8320114,75,48.8566969,2.3514616,852
69,45.7578137,4.8320114,78,48.8035403,2.1266886,126
69,45.7578137,4.8320114,91,48.26406,3.25604,124
69,45.7578137,4.8320114,92,48.8924273,2.2071267,507
69,45.7578137,4.8320114,93,48.906387,2.4452231,208
69,45.7578137,4.8320114,94,48.7771486,2.4530731,132
69,45.7578137,4.8320114,95,49.0508845,2.1008067,157
70,47.6197251,6.1545239,68,48.0777517,7.3579641,118
70,47.6197251,6.1545239,88,48.1747684,6.4503643,212
71,46.3036683,4.8322266,03,49.4217,3.6847,175
71,46.3036683,4.8322266,75,48.8566969,2.3514616,154
72,48.0073498,0.1967379,28,48.4438601,1.4881434,239
72,48.0073498,0.1967379,61,48.4312059,0.0911374,1505
72,48.0073498,0.1967379,75,48.8566969,2.3514616,541
72,48.0073498,0.1967379,92,48.8924273,2.2071267,190
73,45.5662672,5.9203636,75,48.8566969,2.3514616,105
74,45.8992348,6.1288847,75,48.8566969,2.3514616,161
75,48.8566969,2.3514616,27,49.0268903,1.1510164,137
75,48.8566969,2.3514616,51,48.9566218,4.3628851,172
75,48.8566969,2.3514616,59,50.6365654,3.0635282,352
75,48.8566969,2.3514616,60,49.4300997,2.0823355,546
75,48.8566969,2.3514616,76,49.4404591,1.0939658,209
75,48.8566969,2.3514616,80,49.8941708,2.2956951,146
76,49.4404591,1.0939658,80,49.8941708,2.2956951,882
77,48.539927,2.6608169,02,49.564665,3.620686,190
